"Code","Description","Parent","Table","Version"
"D5294","Orchestra facilities, pits","D529","D","1.4"
"D53","Social recreation facilities","D5","D","1.4"
"D532","Community centres","D53","D","1.4"
"D5321","Cultural centres","D532","D","1.4"
"D5322","Arts centres","D532","D","1.4"
"D5323","Village halls, general purpose community halls","D532","D","1.4"
"D534","Clubs (non residential, non-commercial)","D53","D","1.4"
"D5341","Youth centres","D534","D","1.4"
"D5342","Students unions","D534","D","1.4"
"D536","Residential clubs","D53","D","1.4"
"D537","Commercial clubs, night clubs","D53","D","1.4"
"D539","Other social recreation facilities","D53","D","1.4"
"D54","Swimming facilities","D5","D","1.4"
"D541","Swimming facilities","D54","D","1.4"
"D542","Leisure pool facilities","D54","D","1.4"
"D543","Diving facilities","D54","D","1.4"
"D544","Hydrotherapy facilities","D54","D","1.4"
"D545","Lido facilities","D54","D","1.4"
"D546","Pool itself","D54","D","1.4"
"D5461","50 m competition swimming pools","D546","D","1.4"
"D5462","Other competition/training swimming pools","D546","D","1.4"
"D5463","Diving pools","D546","D","1.4"
"D5464","Flexible pools","D546","D","1.4"
"D5465","Leisure pools","D546","D","1.4"
"D5466","Wave pools","D546","D","1.4"
"D5467","Whirlpools/spa pools","D546","D","1.4"
"D5469","Other types of pool","D546","D","1.4"
"D54691","Water polo pools","D5469","D","1.4"
"D54692","Hydrotherapy pools","D5469","D","1.4"
"D54693","Splash pools","D5469","D","1.4"
"D547","Slides, flumes, diving boards, wave generation, etc.","D54","D","1.4"
"D5471","Slides","D547","D","1.4"
"D5472","Flumes/tubes","D547","D","1.4"
"D5473","Run outs","D547","D","1.4"
"D5474","River rides/tyre rides/tub rides","D547","D","1.4"
"D5475","Diving boards","D547","D","1.4"
"D5476","Wave generation plant","D547","D","1.4"
"D549","Other swimming pool and related facilities","D54","D","1.4"
"D56","Sports facilities","D5","D","1.4"
"D561","Stadia, arenas, complexes","D56","D","1.4"
"D5611","Stadia","D561","D","1.4"
"D5612","Sports arenas","D561","D","1.4"
"D5613","Sports complexes","D561","D","1.4"
"D562","Leisure centres, sports hall facilities","D56","D","1.4"
"D5621","Sports hall facilities","D562","D","1.4"
"D5622","Leisure centres","D562","D","1.4"
"D56221","Leisure centres with a sports hall, swimming pool and other sports facilities","D5622","D","1.4"
"D56222","Leisure centres with a sports hall and other sports facilities","D5622","D","1.4"
"D56223","Leisure centres without a sports hall","D5622","D","1.4"
"D563","Sports grounds, small-scale spectator sport facilities, playing fields","D56","D","1.4"
"D564","Spectator facilities for sports","D56","D","1.4"
"D5641","Grandstands, stands","D564","D","1.4"
"D5642","Indoor seating","D564","D","1.4"
"D5643","Competitor seating/warm-up areas","D564","D","1.4"
"D565","Practice/training facilities","D56","D","1.4"
"D567","Sports facilities by type of sport","D56","D","1.4"
"D5671","Gymnastics, health/fitness, combat sports","D567","D","1.4"
"D56711","Gymnastics, acrobatics","D5671","D","1.4"
"D56712","Health/fitness, general","D5671","D","1.4"
"D567121","Body building and weight lifting","D56712","D","1.4"
"D567122","Aerobics","D56712","D","1.4"
"D567123","Solaria","D56712","D","1.4"
"D56713","Combat sports","D5671","D","1.4"
"D567131","Boxing","D56713","D","1.4"
"D567132","Fencing","D56713","D","1.4"
"D567133","Wrestling","D56713","D","1.4"
"D567134","Martial arts","D56713","D","1.4"
"D567139","Other combat sports","D56713","D","1.4"
"D56714","Climbing","D5671","D","1.4"
"D5672","Racket sports","D567","D","1.4"
"D56721","Tennis","D5672","D","1.4"
"D56722","Badminton","D5672","D","1.4"
"D56723","Squash","D5672","D","1.4"
"D56724","Fives","D5672","D","1.4"
"D56725","Table tennis","D5672","D","1.4"
"D56729","Other racket sports","D5672","D","1.4"
"D5673","Team ball games","D567","D","1.4"
"D56731","Cricket","D5673","D","1.4"
"D56732","Soccer","D5673","D","1.4"
"D567321","Five-a-side soccer","D56732","D","1.4"
"D567322","Eleven-a-side soccer","D56732","D","1.4"
"D56733","Rugby","D5673","D","1.4"
"D56734","Hockey","D5673","D","1.4"
"D56735","Basketball","D5673","D","1.4"
"D56736","Netball","D5673","D","1.4"
"D56737","Volleyball","D5673","D","1.4"
"D56739","Other team ball games","D5673","D","1.4"
"D5674","Athletics, racing sports","D567","D","1.4"
"D56741","Athletics","D5674","D","1.4"
"D567411","Track","D56741","D","1.4"
"D567412","Field","D56741","D","1.4"
"D56742","Horse racing","D5674","D","1.4"
"D56743","Dog racing","D5674","D","1.4"
"D56744","Cycle racing","D5674","D","1.4"
"D56745","Motorcycle racing","D5674","D","1.4"
"D56746","Motor car racing","D5674","D","1.4"
"D56749","Other racing sports","D5674","D","1.4"
"D5675","Winter sports","D567","D","1.4"
"D56751","Dry slope skiing","D5675","D","1.4"
"D56752","Machine-made snow skiing","D5675","D","1.4"
"D56753","Natural snow skiing","D5675","D","1.4"
"D56754","Toboggan runs","D5675","D","1.4"
"D56755","Ice rink sports/leisure","D5675","D","1.4"
"D56759","Other winter sports","D5675","D","1.4"
"D5676","Equestrian, hunting, fishing","D567","D","1.4"
"D56761","Riding schools","D5676","D","1.4"
"D56762","Show jumping","D5676","D","1.4"
"D56763","Polo","D5676","D","1.4"
"D56764","Fishing","D5676","D","1.4"
"D56769","Other","D5676","D","1.4"
"D5677","Aiming sports","D567","D","1.4"
"D56771","Golf","D5677","D","1.4"
"D56772","Bowling (Crown green)","D5677","D","1.4"
"D56773","Bowling (Ten pin)","D5677","D","1.4"
"D56774","Snooker, billiards, pool","D5677","D","1.4"
"D56775","Darts","D5677","D","1.4"
"D56776","Archery","D5677","D","1.4"
"D56777","Shooting","D5677","D","1.4"
"D5678","Boating, water skiing, air sports","D567","D","1.4"
"D56781","Sailing","D5678","D","1.4"
"D56782","Motor boating","D5678","D","1.4"
"D56783","Water skiing","D5678","D","1.4"
"D56784","Gliding","D5678","D","1.4"
"D56785","Aeronautics","D5678","D","1.4"
"D56786","Parachuting, hang gliding, parapenting","D5678","D","1.4"
"D56789","Other kinds of sports","D5678","D","1.4"
"D568","Facilities/areas for the playing of the sport itself","D56","D","1.4"
"D5681","Courses","D568","D","1.4"
"D5682","Pitches","D568","D","1.4"
"D5683","Courts","D568","D","1.4"
"D5684","Tracks","D568","D","1.4"
"D5685","Pavilions","D568","D","1.4"
"D5686","Ranges","D568","D","1.4"
"D5687","Rings","D568","D","1.4"
"D5689","Other","D568","D","1.4"
"D569","Other sports facilities","D56","D","1.4"
"D58","Amusement, play, tourist facilities","D5","D","1.4"
"D581","Gambling facilities","D58","D","1.4"
"D5811","Casinos","D581","D","1.4"
"D5812","Bookmakers","D581","D","1.4"
"D583","Amusement facilities","D58","D","1.4"
"D5831","Funfairs","D583","D","1.4"
"D5832","Theme parks","D583","D","1.4"
"D5833","Simulation amusement facilities","D583","D","1.4"
"D58331","Amusement facilities with computer controlled special effects","D5833","D","1.4"
"D58332","Virtual reality amusement facilities","D5833","D","1.4"
"D5834","Fairgrounds","D583","D","1.4"
"D5835","Show grounds","D583","D","1.4"
"D5836","Amusement arcades","D583","D","1.4"
"D584","Tourist facilities","D58","D","1.4"
"D5841","Visitor centres","D584","D","1.4"
"D5842","Tourist information centres","D584","D","1.4"
"D5843","Interpretation facilities","D584","D","1.4"
"D5844","Holiday camps","D584","D","1.4"
"D5845","Caravan and camping sites","D584","D","1.4"
"D585","Play facilities","D58","D","1.4"
"D5851","Playgrounds","D585","D","1.4"
"D5852","Adventure playgrounds","D585","D","1.4"
"D5853","Play centres","D585","D","1.4"
"D5854","Play areas/rooms","D585","D","1.4"
"D5855","Large, fixed playground equipment","D585","D","1.4"
"D5856","Play accessories","D585","D","1.4"
"D586","Field study centres, outdoor activity centres","D58","D","1.4"
"D587","Parks, gardens","D58","D","1.4"
"D5871","Public parks","D587","D","1.4"
"D589","Other amusement, play, tourist facilities","D58","D","1.4"
"D59","Other recreational facilities","D5","D","1.4"
"D6","Religious facilities","D","D","1.4"
"D61","Religious centre facilities","D6","D","1.4"
"D611","Episcopal palaces","D61","D","1.4"
"D612","Deaneries","D61","D","1.4"
"D613","Pastoral centres","D61","D","1.4"
"D614","Ecumenical centres","D61","D","1.4"
"D62","Cathedrals","D6","D","1.4"
"D621","Chapter houses","D62","D","1.4"
"D622","Cathedral treasuries","D62","D","1.4"
"D63","Churches, chapels","D6","D","1.4"
"D631","Chancels","D63","D","1.4"
"D6311","Sanctuaries","D631","D","1.4"
"D6312","Choirs","D631","D","1.4"
"D6313","Altars","D631","D","1.4"
"D632","Naves, transepts","D63","D","1.4"
"D633","Crypts","D63","D","1.4"
"D634","Galleries","D63","D","1.4"
"D635","Side chapels, baptisteries, confessing facilities, preaching facilities, sacramental facilities","D63","D","1.4"
"D636","Ambulatory facilities","D63","D","1.4"
"D6361","Aisles","D636","D","1.4"
"D6362","Retrochoirs","D636","D","1.4"
"D637","Spires, towers, belfries, campanili","D63","D","1.4"
"D638","Vestries","D63","D","1.4"
"D639","Other parts of Christian worship facilities, churches","D63","D","1.4"
"D64","Mission halls, meeting houses","D6","D","1.4"
"D65","Non-Christian places of worship","D6","D","1.4"
"D651","Temples","D65","D","1.4"
"D652","Mosques","D65","D","1.4"
"D653","Synagogues","D65","D","1.4"
"D654","Non-Christian religious meeting places","D65","D","1.4"
"D659","Parts of non-Christian worship facilities","D65","D","1.4"
"D66","Residential religious facilities","D6","D","1.4"
"D661","Convents","D66","D","1.4"
"D662","Abbeys, monasteries, nunneries, priories, friaries","D66","D","1.4"
"D663","Retreat centres","D66","D","1.4"
"D67","Funerary facilities, shrines, mortuaries","D6","D","1.4"
"D671","Mortuaries, morgues","D67","D","1.4"
"D672","Crematoria","D67","D","1.4"
"D673","Cemeteries (graveyards)","D67","D","1.4"
"D674","Tombs, mausoleums, funeral vaults, shrines, reliquaries","D67","D","1.4"
"D676","Gardens of remembrance, remembrance pavilions","D67","D","1.4"
"D677","Funeral parlours, chapels of rest","D67","D","1.4"
"D679","Other funerary facilities","D67","D","1.4"
"D69","Other religious facilities","D6","D","1.4"
"D7","Educational, scientific, information facilities","D","D","1.4"
"D71","Education facilities (schools)","D7","D","1.4"
"D711","Nursery schools","D71","D","1.4"
"D712","Primary schools","D71","D","1.4"
"D7121","Infant schools","D712","D","1.4"
"D7122","First schools","D712","D","1.4"
"D7123","Junior schools","D712","D","1.4"
"D7124","Middle schools","D712","D","1.4"
"D7125","Independent primary schools, preparatory schools","D712","D","1.4"
"D713","Secondary schools","D71","D","1.4"
"D7131","Comprehensive schools","D713","D","1.4"
"D71311","Grant maintained","D7131","D","1.4"
"D71312","Local authority controlled","D7131","D","1.4"
"D7132","Grammar schools","D713","D","1.4"
"D7133","Independent/private/public schools","D713","D","1.4"
"D71331","Boarding schools","D7133","D","1.4"
"D71332","Day schools","D7133","D","1.4"
"D71333","Mixed boarding/day schools","D7133","D","1.4"
"D7135","Technology schools","D713","D","1.4"
"D7139","Other types of secondary schools","D713","D","1.4"
"D714","Sixth form colleges, tertiary colleges","D71","D","1.4"
"D717","Schools for special needs groups","D71","D","1.4"
"D7171","Schools for children with learning difficulties, mental handicaps, autism, emotional problems","D717","D","1.4"
"D7172","Schools for children with physical handicaps","D717","D","1.4"
"D7173","Approved schools","D717","D","1.4"
"D7179","Other special needs schools","D717","D","1.4"
"D718","Parts of education facilities","D71","D","1.4"
"D7181","General purpose classrooms","D718","D","1.4"
"D7182","Classrooms for science, technology, etc.","D718","D","1.4"
"D71821","Science laboratories","D7182","D","1.4"
"D71822","Computer laboratories","D7182","D","1.4"
"D71823","Classrooms for woodwork, metalwork, etc.","D7182","D","1.4"
"D7183","Music rooms","D718","D","1.4"
"D7184","Language laboratories","D718","D","1.4"
"D7185","Art/design/craft classrooms","D718","D","1.4"
"D7186","Sixth form centres/common rooms","D718","D","1.4"
"D7189","Other parts of education facilities","D718","D","1.4"
"D719","Other education facilities","D71","D","1.4"
"D72","Further education facilities","D7","D","1.4"
"D721","Universities","D72","D","1.4"
"D7211","Traditional universities","D721","D","1.4"
"D7212","Former polytechnics","D721","D","1.4"
"D722","Polytechnics, technical colleges, general colleges of further education","D72","D","1.4"
"D723","Colleges of education","D72","D","1.4"
"D724","Colleges of art and design","D72","D","1.4"
"D725","Colleges/academies of music, drama, dance","D72","D","1.4"
"D726","Adult education facilities","D72","D","1.4"
"D727","Learned societies","D72","D","1.4"
"D728","Parts of further education facilities","D72","D","1.4"
"D7281","General purpose lecture theatres","D728","D","1.4"
"D7282","General purpose teaching rooms other than lecture theatres","D728","D","1.4"
"D7283","General purpose research rooms","D728","D","1.4"
"D7284","Science laboratories","D728","D","1.4"
"D72841","For teaching","D7284","D","1.4"
"D72842","For research","D7284","D","1.4"
"D7285","Language laboratories","D728","D","1.4"
"D7286","Computer laboratories","D728","D","1.4"
"D7289","Other parts of further education facilities","D728","D","1.4"
"D729","Other further education facilities","D72","D","1.4"
"D73","Scientific, computing facilities (laboratories)","D7","D","1.4"
"D731","Computing facilities, computer rooms","D73","D","1.4"
"D732","Clean rooms","D73","D","1.4"
"D733","Instrument rooms","D73","D","1.4"
"D736","Photography facilities","D73","D","1.4"
"D7361","Dark rooms","D736","D","1.4"
"D737","Observatories, recording stations","D73","D","1.4"
"D7371","Meteorological stations","D737","D","1.4"
"D7372","Geophysical stations","D737","D","1.4"
"D7373","Seismographic stations","D737","D","1.4"
"D739","Other scientific facilities","D73","D","1.4"
"D74","Assembly, meeting facilities","D7","D","1.4"
"D741","Conference centres","D74","D","1.4"
"D742","Trade centres","D74","D","1.4"
"D75","Exhibition, display facilities","D7","D","1.4"
"D751","Botanical gardens, herbaria, zoos","D75","D","1.4"
"D752","Aviaries","D75","D","1.4"
"D753","Aquaria, oceanaria","D75","D","1.4"
"D754","Museums, planetariums","D75","D","1.4"
"D755","Art galleries, facilities for the display of art","D75","D","1.4"
"D756","Centres for general exhibitions","D75","D","1.4"
"D757","Centres for special kinds of exhibitions","D75","D","1.4"
"D7571","Design centres","D757","D","1.4"
"D7572","Building centres","D757","D","1.4"
"D7573","Architecture centres","D757","D","1.4"
"D759","Other exhibition/display facilities","D75","D","1.4"
"D76","Information/study facilities (libraries)","D7","D","1.4"
"D761","National libraries","D76","D","1.4"
"D762","Public libraries","D76","D","1.4"
"D763","University, college, school libraries","D76","D","1.4"
"D764","Information facilities by special subject","D76","D","1.4"
"D765","Information facilities by form of material","D76","D","1.4"
"D7651","Map libraries","D765","D","1.4"
"D7652","Audio-visual libraries","D765","D","1.4"
"D7653","Resource centres","D765","D","1.4"
"D7654","Drawings/illustrations/photograph libraries","D765","D","1.4"
"D7655","Newspaper libraries","D765","D","1.4"
"D766","Company libraries, special libraries","D76","D","1.4"
"D767","Record offices, archives, patent offices","D76","D","1.4"
"D768","Commercial lending libraries, subscription libraries","D76","D","1.4"
"D769","Parts of information facilities","D76","D","1.4"
"D7691","Lending section","D769","D","1.4"
"D7692","Reference section","D769","D","1.4"
"D7693","Enquiry area","D769","D","1.4"
"D7694","Catalogue area","D769","D","1.4"
"D7695","Study areas","D769","D","1.4"
"D7696","Photocopying, computing areas","D769","D","1.4"
"D7699","Other parts of information facilities","D769","D","1.4"
"D79","Other educational etc. facilities","D7","D","1.4"
"D8","Residential facilities","D","D","1.4"
"D81","Domestic residential facilities, housing","D8","D","1.4"
"D811","Housing by type","D81","D","1.4"
"D8111","Flats (apartments)","D811","D","1.4"
"D8112","Maisonettes","D811","D","1.4"
"D813","Housing by size of development","D81","D","1.4"
"D8131","Individually-designed houses, housing units","D813","D","1.4"
"D8132","Small groups of houses, single streets of houses","D813","D","1.4"
"D8133","Blocks of flats/maisonettes","D813","D","1.4"
"D8134","Housing estates","D813","D","1.4"
"D814","Housing by occupier","D81","D","1.4"
"D8141","Old peoples housing, sheltered housing","D814","D","1.4"
"D8142","Disabled peoples housing","D814","D","1.4"
"D8143","Housing for mentally ill people","D814","D","1.4"
"D8144","Caretakers, wardens housing","D814","D","1.4"
"D8145","Vicarages, rectories, etc.","D814","D","1.4"
"D815","Housing by owner","D81","D","1.4"
"D8151","Owner-occupied housing","D815","D","1.4"
"D8152","Owned by private landlord","D815","D","1.4"
"D8153","Council housing","D815","D","1.4"
"D8154","Housing association housing","D815","D","1.4"
"D8155","Speculative housing, housing for unspecified owner","D815","D","1.4"
"D819","Other domestic residential facilities","D81","D","1.4"
"D82","Relaxation facilities, living rooms","D8","D","1.4"
"D83","Sleeping facilities, bedrooms","D8","D","1.4"
"D85","Communal residential facilities","D8","D","1.4"
"D852","Hotels","D85","D","1.4"
"D853","Motels","D85","D","1.4"
"D854","Guesthouses","D85","D","1.4"
"D855","Hostels","D85","D","1.4"
"D8551","Youth hostels","D855","D","1.4"
"D8552","Short stay housing","D855","D","1.4"
"D856","Halls of residence","D85","D","1.4"
"D857","Foyer buildings","D85","D","1.4"
"D858","Parts of communal residential facilities","D85","D","1.4"
"D8581","Single hotel bedrooms","D858","D","1.4"
"D85811","With en-suite facilities","D8581","D","1.4"
"D85812","Without en-suite facilities","D8581","D","1.4"
"D8582","Double hotel bedrooms","D858","D","1.4"
"D85821","With en-suite facilities","D8582","D","1.4"
"D85822","Without en-suite facilities","D8582","D","1.4"
"D8583","Suite of hotel rooms","D858","D","1.4"
"D8584","Dormitories, communal sleeping areas","D858","D","1.4"
"D859","Other communal residential facilities","D85","D","1.4"
"D86","Historical residential facilities","D8","D","1.4"
"D861","Castles","D86","D","1.4"
"D862","Chateaux","D86","D","1.4"
"D863","Fortified houses","D86","D","1.4"
"D864","Other historical houses","D86","D","1.4"
"D868","Parts of historical residential facilities","D86","D","1.4"
"D87","Temporary, mobile residential facilities","D8","D","1.4"
"D89","Other residential facilities","D8","D","1.4"
"D9","Other facilities","D","D","1.4"
"D91","Circulation","D9","D","1.4"
"D92","Reception, waiting facilities","D9","D","1.4"
"D94","Sanitary, changing facilities","D9","D","1.4"
"D941","Lavatories, public conveniences","D94","D","1.4"
"D942","Bathrooms, washing facilities","D94","D","1.4"
"D943","Saunas, Turkish baths, etc.","D94","D","1.4"
"D945","Changing, dressing facilities","D94","D","1.4"
"D95","Cleaning, maintenance facilities","D9","D","1.4"
"D951","Laundries","D95","D","1.4"
"D96","Storage facilities","D9","D","1.4"
"D961","General purpose storage facilities, cloakrooms, luggage rooms, stock rooms, waste storage facilities","D96","D","1.4"
"D962","Domestic garages, sheds, etc.","D96","D","1.4"
"D963","Liquid storage","D96","D","1.4"
"D964","Hot storage","D96","D","1.4"
"D965","Cold storage","D96","D","1.4"
"D9651","Refrigerated storage","D965","D","1.4"
"D9652","Deep freeze storage","D965","D","1.4"
"D966","Secure storage","D96","D","1.4"
"D97","Plant, control facilities","D9","D","1.4"
"D971","Plant rooms","D97","D","1.4"
"D972","Control rooms","D97","D","1.4"
"D973","Services facilities","D97","D","1.4"
"E","Construction entities","uniclass","E","1.4"
"E0","Construction complexes","E","E","1.4"
"E1","Pavements and landscaping","E","E","1.4"
"E11","Pavements, permanent ways","E1","E","1.4"
"E111","Rigid pavements","E11","E","1.4"
"E112","Rigid composite pavements","E11","E","1.4"
"E113","Flexible pavements","E11","E","1.4"
"E114","Flexible composite pavements","E11","E","1.4"
"E12","Hard landscaping","E1","E","1.4"
"E13","Soft landscaping","E1","E","1.4"
"E2","Tunnels, shafts, cuttings","E","E","1.4"
"E21","Tunnels","E2","E","1.4"
"E211","Adits","E21","E","1.4"
"E212","Pilot tunnels","E21","E","1.4"
"E213","Immersed tube tunnels","E21","E","1.4"
"E214","Headings","E21","E","1.4"
"E22","Shafts","E2","E","1.4"
"E23","Cuttings","E2","E","1.4"
"E3","Embankments, retaining walls, etc.","E","E","1.4"
"E31","Embankments","E3","E","1.4"
"E32","Retaining/protecting walls","E3","E","1.4"
"E321","Retaining walls","E32","E","1.4"
"E322","Protecting walls","E32","E","1.4"
"E33","Dams","E3","E","1.4"
"E331","Embankment dams","E33","E","1.4"
"E3311","Earth dams","E331","E","1.4"
"E3312","Rock fill dams","E331","E","1.4"
"E3313","Hydraulic fill dams","E331","E","1.4"
"E332","Gravity dams","E33","E","1.4"
"E3321","Gabion dams","E332","E","1.4"
"E3322","Crib dams","E332","E","1.4"
"E333","Gravity arch dams","E33","E","1.4"
"E334","Arch dams","E33","E","1.4"
"E335","Buttress dams","E33","E","1.4"
"E3351","Arch buttress dams","E335","E","1.4"
"E3352","Flat slab buttress dams","E335","E","1.4"
"E3353","Solid head buttress dams","E335","E","1.4"
"E4","Tanks, silos, etc.","E","E","1.4"
"E41","Containers for gases","E4","E","1.4"
"E42","Tanks for liquids","E4","E","1.4"
"E43","Silos","E4","E","1.4"
"E5","Bridges, viaducts","E","E","1.4"
"E51","Bridges by material of construction","E5","E","1.4"
"E511","Steel girder bridges","E51","E","1.4"
"E5111","Steel simple beam bridges","E511","E","1.4"
"E5112","Steel lattice girder bridges","E511","E","1.4"
"E5113","Steel truss bridges","E511","E","1.4"
"E5114","Steel box girder bridges","E511","E","1.4"
"E512","Concrete girder bridges","E51","E","1.4"
"E5121","Post-tensioned concrete girder bridges","E512","E","1.4"
"E5122","Pre-tensioned concrete girder bridges","E512","E","1.4"
"E5123","Concrete girder bridges with no pre-stressing","E512","E","1.4"
"E513","Wooden bridges","E51","E","1.4"
"E514","Masonry bridges","E51","E","1.4"
"E518","Composite bridges","E51","E","1.4"
"E519","Other","E51","E","1.4"
"E52","Simple span bridges","E5","E","1.4"
"E53","Cantilever bridges","E5","E","1.4"
"E54","Cable stayed bridges","E5","E","1.4"
"E55","Suspension bridges","E5","E","1.4"
"E56","Arch bridges","E5","E","1.4"
"E561","Masonry arch bridges","E56","E","1.4"
"E562","Concrete arch bridges","E56","E","1.4"
"E563","Steel arch bridges","E56","E","1.4"
"E57","Movable bridges","E5","E","1.4"
"E571","Drawbridges","E57","E","1.4"
"E572","Bascules","E57","E","1.4"
"E573","Vertical lift bridges","E57","E","1.4"
"E574","Swing bridges","E57","E","1.4"
"E575","Retractable bridges","E57","E","1.4"
"E576","Floating bridges","E57","E","1.4"
"E577","Transporter bridges","E57","E","1.4"
"E58","Bridges by what carried","E5","E","1.4"
"E581","Foot bridges","E58","E","1.4"
"E582","Bridges carrying buildings","E58","E","1.4"
"E583","Bridges carrying pipes or cables","E58","E","1.4"
"E59","Bridges by geometry/scale, other types of bridges","E5","E","1.4"
"E591","Skew bridges","E59","E","1.4"
"E592","Curved bridges","E59","E","1.4"
"E593","Large span bridges","E59","E","1.4"
"E594","Multi-span bridges","E59","E","1.4"
"E595","Through-girder bridges","E59","E","1.4"
"E599","Other types of bridges","E59","E","1.4"
"E6","Towers, superstructures (excluding building","E","E","1.4"
"E61","Towers","E6","E","1.4"
"E62","Gantries","E6","E","1.4"
"E63","Chimneys (free standing)","E6","E","1.4"
"E64","Cooling towers","E6","E","1.4"
"E65","Lattice towers, pylons","E6","E","1.4"
"E66","Masts","E6","E","1.4"
"E7","Pipelines, ducts, cables and channels","E","E","1.4"
"E71","Pipelines","E7","E","1.4"
"E72","Cables, power lines","E7","E","1.4"
"E73","Ducts","E7","E","1.4"
"E731","Duct networks","E73","E","1.4"
"E732","Jointing chambers","E73","E","1.4"
"E733","Cable tunnels","E73","E","1.4"
"E734","Cable ways","E73","E","1.4"
"E74","Manholes, chambers","E7","E","1.4"
"E75","Channels, trenches, ditches, etc.","E7","E","1.4"
"E8","Buildings","E","E","1.4"
"E81","Buildings defined by height/number of storeys","E8","E","1.4"
"E811","Single storey buildings","E81","E","1.4"
"E812","Two storey buildings","E81","E","1.4"
"E813","Three storey buildings","E81","E","1.4"
"E819","Tall buildings, skyscrapers","E81","E","1.4"
"E82","Buildings defined by relationship with adjacent buildings","E8","E","1.4"
"E821","Detached buildings","E82","E","1.4"
"E822","Semi-detached buildings","E82","E","1.4"
"E823","Linked/lean-to buildings","E82","E","1.4"
"E824","Terraces/parades","E82","E","1.4"
"E825","Infill buildings","E82","E","1.4"
"E826","Buildings constructed over something, air rights buildings","E82","E","1.4"
"E83","Buildings defined by special form of construction","E8","E","1.4"
"E831","Structures with cable tensioned fabric roofs","E83","E","1.4"
"E832","Buildings with retractable roofs","E83","E","1.4"
"E833","Long-span, large volume buildings, supersheds","E83","E","1.4"
"E834","System-built buildings, volumetric buildings","E83","E","1.4"
"E835","Timber framed buildings and other structures","E83","E","1.4"
"E84","Intelligent buildings","E8","E","1.4"
"E85","Mobile, demountable, temporary, floating buildings","E8","E","1.4"
"E851","Mobile buildings","E85","E","1.4"
"E852","Demountable buildings","E85","E","1.4"
"E853","Temporary buildings","E85","E","1.4"
"E854","Floating buildings","E85","E","1.4"
"E86","Underground buildings and other structures","E8","E","1.4"
"E89","Other types of buildings","E8","E","1.4"
"F","Spaces","uniclass","F","1.4"
"F1","Compound spaces of buildings","F","F","1.4"
"F11","Semi-independent parts of a building, blocks","F1","F","1.4"
"F12","Vertically divided parts of buildings","F1","F","1.4"
"F121","Wings","F12","F","1.4"
"F122","Bays","F12","F","1.4"
"F123","Core","F12","F","1.4"
"F13","Horizontally divided parts of buildings, storeys","F1","F","1.4"
"F131","Sub-basement","F13","F","1.4"
"F132","Basement","F13","F","1.4"
"F133","Semi-basement","F13","F","1.4"
"F134","Ground floor","F13","F","1.4"
"F135","Mezzanine floor","F13","F","1.4"
"F136","First floor and above, but below highest floor","F13","F","1.4"
"F13601","First floor","F136","F","1.4"
"F13602","Second floor","F136","F","1.4"
"F13603","Third floor","F136","F","1.4"
"F13610","Tenth floor","F136","F","1.4"
"F13611","Eleventh floor","F136","F","1.4"
"F13699","Ninety-ninth floor","F136","F","1.4"
"F137","Highest floor","F13","F","1.4"
"F138","Space beneath a sloping roof, attic","F13","F","1.4"
"F139","Space on top of a flat roof","F13","F","1.4"
"F19","Other compound spaces, zones","F1","F","1.4"
"F191","User functional departments","F19","F","1.4"
"F2","Rooms","F","F","1.4"
"F3","Circulation spaces","F","F","1.4"
"F311","Porches","F3","F","1.4"
"F314","Entrance halls, foyers","F3","F","1.4"
"F317","Atria","F3","F","1.4"
"F321","Central halls, lobbies","F3","F","1.4"
"F324","Stairs, lift shafts, escalators","F3","F","1.4"
"F327","Corridors","F3","F","1.4"
"F331","Internal balconies, galleries","F3","F","1.4"
"F332","External balconies","F3","F","1.4"
"F334","Gangways","F3","F","1.4"
"F337","Covered ways","F3","F","1.4"
"F338","Cloisters","F3","F","1.4"
"F341","Passages, alleys","F3","F","1.4"
"F344","Crawlways","F3","F","1.4"
"F351","Air locks","F3","F","1.4"
"F399","Other circulation spaces","F3","F","1.4"
"F4","Building sub-spaces","F","F","1.4"
"F41","Activity space","F4","F","1.4"
"F42","Working space","F4","F","1.4"
"F43","Occupied space","F4","F","1.4"
"F44","Alcoves, niches","F4","F","1.4"
"F45","Incidental space, voids","F4","F","1.4"
"F5","Internal spaces of buildings","F","F","1.4"
"F6","External spaces of buildings","F","F","1.4"
"F61","Courtyards, forecourts","F6","F","1.4"
"F62","Basement areas","F6","F","1.4"
"F63","Dry areas","F6","F","1.4"
"F64","Light wells","F6","F","1.4"
"F65","Terraces","F6","F","1.4"
"F651","Verandahs","F65","F","1.4"
"F7","Building spaces by degree and type of enclosure","F","F","1.4"
"F71","Free space","F7","F","1.4"
"F72","Open space","F7","F","1.4"
"F73","Not covered, enclosed space","F7","F","1.4"
"F731","Partly covered","F73","F","1.4"
"F74","Covered, not enclosed space","F7","F","1.4"
"F75","Fully enclosed space","F7","F","1.4"
"F8","Miscellaneous spaces, other spaces","F","F","1.4"
"F81","Fire compartments","F8","F","1.4"
"F82","Protected space","F8","F","1.4"
"F83","Private space","F8","F","1.4"
"F84","Public space","F8","F","1.4"
"F85","Danger area","F8","F","1.4"
"F89","Other spaces","F8","F","1.4"
"F9","Building space analysed","F","F","1.4"
"F91","Building space analysed according to ISO 9836:1992","F9","F","1.4"
"F911","Usable area","F91","F","1.4"
